id,country,name,sponsor,download(mbps),upload(mbps),ping(ms)
21239,Norway,Hammerfest,Hammerfest Energi Bredbånd AS,43.3 Mbps,11.36 Mbps,332.48 ms
4600,Norway,Vadso,Varanger KraftUtvikling AS,43.71 Mbps,10.23 Mbps,331.42 ms
4961,Norway,Alta,Nornett AS,7.17 Mbps,11.77 Mbps,329.11 ms
3433,Norway,Alta,Eltele AS,6.29 Mbps,10.81 Mbps,336.91 ms
11786,Norway,Tromsø,Broadnet,19.68 Mbps,11.57 Mbps,380.33 ms
3522,Russian Federation,Murmansk,Rostelecom,15.76 Mbps,15.66 Mbps,268.42 ms
11072,Russian Federation,Murmansk,Net By Net Holding LLC,50.47 Mbps,12.43 Mbps,318.85 ms
1521,Russian Federation,Murmansk,M2C,10.56 Mbps,6.01 Mbps,371.88 ms
4755,Norway,Stokmarknes,Trollfjord Broadband AS,32.75 Mbps,11.35 Mbps,346.6 ms
4280,Russian Federation,Naryan,Mar,Rostelecom,29.33 Mbps,13.19 Mbps,317.48 ms
4980,Russian Federation,Apatity,Citylink Ltd,8.06 Mbps,12.74 Mbps,292.19 ms
25069,Russia,Apatity,Tigernet,50.81 Mbps,6.09 Mbps,364.67 ms
3308,Norway,Bodø,Signal Broadband AS,5.43 Mbps,12.17 Mbps,377.56 ms
14444,Norway,Bodø,Altibox AS,6.03 Mbps,11.87 Mbps,326.96 ms
2601,Russian Federation,Salekhard,Rostelecom,11.49 Mbps,22.79 Mbps,231.01 ms
15323,Russian Federation,Salekhard,Yamaltelecom,28.49 Mbps,8.99 Mbps,488.65 ms
17819,RU,Salekhard,"JSC ""CONNECT""",65.26 Mbps,16.83 Mbps,311.62 ms
3484,Russian Federation,Novy Urengoy,Rostelecom,15.59 Mbps,23.67 Mbps,212.73 ms
17031,Russia,Novy Urengoy,MegaFon,5.68 Mbps,11.85 Mbps,332.45 ms
6256,Russian Federation,Novy Urengoy,JSC Sigma,KTV,11.07 Mbps,18.19 Mbps,228.54 ms
11074,Russian Federation,Novy Urengoy,Net By Net Holding LLC,7.6 Mbps,3.98 Mbps,397.1 ms
3693,Russian Federation,Usinsk,Swift Telecom,13.34 Mbps,13.13 Mbps,291.28 ms
10661,Iceland,Akureyri,Tengir hf,42.92 Mbps,14.46 Mbps,318.49 ms
